Mexico,Acapulco
Spain,Algericas
Algeria,Algiers
Spain,Alicante
Netherlands,Amsterdam
Colombia,Angostura (Ciudad Bolivar)
Antigua Island,Antigua Island
Belgium,Antwerp
Russia,Archangel
Greece,Athens
Haiti,Aux Cayes
Spain,Ayamonte and Huelva
Spain,Barcelona
Guadeloupe,Basse-Terre
Java,Batavia (Jakarta)
France,Bayonne
Ireland,Belfast
Prussia,Berlin
England,Bideford
Spain,Bilbao
Colombia,Bogota
France,Bordeaux
The German Free Cities,Bremen
France,Brest
Barbados,Bridgetown
England,Bristol
Argentina,Buenos Aires
Spain,Cadiz
Sardinia (Kingdom of),Cagliari
France,Calais
India,Calcutta
Mexico,Campeche
China,Canton
Haiti,Cap Haitien
South Africa,Cape Town
Venezuela,Caracas
Wales,Carmarthen
Spain,Carthagena (Spain)
Colombia,Carthagena (Colombia)
French Guiana,Cayenne
France,Cette
Mexico,Chihuahua
Norway,Christiania (Oslo)
Oregon,Columbia River
Turkey,Constantinople
Denmark,Copenhagen
Ireland,Cork
Spain,Corunna
England,Cowes; Isle of Wight
Curacao Island,Curacao Island
British Guiana,Demerara
Ireland,Dublin
France,Dunkirk
Hannover,Emden
England,Exeter
England,Falmouth
Azore Islands,Fayal
Sardinia,Florence
Madeira Islands,Funchal
Genoa (Republic of),Genoa
Sardinia (Kingdom of),Genoa
Sardinia,Genoa 
Belgium,Ghent
Spain,Gibraltar
Scotland,Glasgow
Sweden,Gothenburg (Goteborg)
Guatemala,Guatemala
Ecuador,Guayaquil
Bermuda,Hamilton
Cuba,Havana
France,Havre de Grace (LeHavre)
Netherlands,Helder
Hawaii,Honolulu
France,Ile d'Oleron
Jamaica,Kingston
England,Kingston on Hull
France,L'Orient
France,La Rochelle
Venezuela,Laguayra
Sardinia,Leghorn
Scotland,Leith
Peru,Lima
Portugal,Lisbon
England,Liverpool
England,London
India,Madras
Spain,Madrid
Spain,Malaga
Philippines,Manila
Venezuela,Maracaibo
Brazil,Maranhao Island
Morocco,Marrakesh
France,Marseilles
Cuba,Matanzas
Naples (Kingdom of),Messina
Mexico,Mexico
Wales,Milford Haven
Morocco,Mogador
Uruguay,Montevideo
France,Morlaix
France,Nantes
Naples (Kingdom of),Naples
Bahamas,Nassau
Louisiana,New Orleans
Bavaria,Nuremberg
Portugal,Oporto
Canary Islands,Oratava
Belgium,Ostend
Naples (Kingdom of),Palermo
Majorca,Palma
Colombia,Panama
Surinam,Paramaribo
France,Paris
Brazil,Pernambuco (Recife)
England,Plymouth
Puerto Rico,Ponce
England,Poole
Mauritius,Port Louis
Haiti,Port-au-Prince
Venezuela,Puerto Cabello
Spain,Puerto Santa Maria 
Siam,Rangoon
Prussia,Remscheid
Russia,Riga; Latvia
Brazil,Rio de Janeiro
France,Rochefort
Papal States,Rome
Netherlands,Rotterdam
France,Rouen
Brazil,Salvador da Bahia
Puerto Rico,San Juan
Spain,San Lucar 
Colombia,Santa Marta
Spain,Santander 
Cap Verde Islands,Santiago (Cap Verde)
Chile,Santiago (Chile)
Cuba,Santiago de Cuba
MECKLENBURG-SCHWERIN (Duchy of),Schwerin
Turkey,Smyrna
Florida,St. Augustine
St. Bartholomew Island,St. Bartholomew Island
Virgin Islands,St. Croix
St. Eustatius Island,St. Eustatius Island
Bermuda,St. George's
St. Kitts Island,St. Kitts Island
St. Kitts Island,St. Kitts Island
Russia,St. Petersburg
Martinique,St. Pierre
Virgin Islands,St. Thomas
Sweden,Stockholm
Mexico,Tampico
Morocco,Tangier
Spain,Tarragona 
Canary Islands,Tenerife
Netherlands,Texel
Netherlands,The Hague
Austria,Trieste
Cuba,Trinidad
Trinidad Island,Trinidad Island
Tripolitania,Tripoli
Tunisia,Tunis
Sardinia (Kingdom of),Turin
Bahamas,Turks Island
Malta,Valetta
Chile,Valparaiso
Austria,Venice
Mexico,Vera Cruz